10/11/2021 19:09,9.6128E+21,unfollow,2/2 Windsor,,,Jordan 4 Retro Lightning (2021),,
10/12/2021 20:56,9.62208E+33,BOBO,5/19 Mt Run,,,Nike Air Force 1 Low Retro Shoe        CQ0492-001        5.5,,
10/12/2021 20:56,1Z9144R90379599883,BOBO,5/19 Mt Run,,,Nike Air Force 1 High '07 EMB Men's Shoes        DC8168-100        7,,
10/12/2021 20:58,1Z6V42710397476848,TANG,5/19 Mt Run,,,slide green 5,,
10/18/2021 19:11,9.62209E+33,unfollow,2/2 Windsor,,,adidas Yeezy Boost 700 Wash Orange,,
10/18/2021 19:14,1Z17867F0393683795,Shaw,2/2 Windsor,,,DH3114-001---8,,
10/18/2021 19:16,9.62209E+33,ARMO,2/2 Windsor,,,,,
10/18/2021 19:16,9.62209E+33,ARMO,2/2 Windsor,,,,,
10/18/2021 19:16,9.62209E+33,ARMO,2/2 Windsor,,,,,
10/18/2021 19:16,9.62209E+33,ARMO,2/2 Windsor,,,,,
10/18/2021 19:16,9.62209E+33,ARMO,2/2 Windsor,,,,,
10/18/2021 19:16,9.62209E+33,ARMO,2/2 Windsor,,,,,
10/18/2021 19:33,9.62209E+33,unfollow,2/2 Windsor,,,adidas Yeezy Boost 700 Wash Orange,,
10/18/2021 19:49,9.62209E+33,ARMO,2/2 Windsor,,,,,
10/18/2021 19:49,9.62209E+33,ARMO,2/2 Windsor,,,,,
10/18/2021 19:49,9.62209E+33,ARMO,2/2 Windsor,,,,,
10/18/2021 19:49,9.62209E+33,ARMO,2/2 Windsor,,,,,
10/18/2021 19:49,9.62209E+33,BUG,2/2 Windsor,,,,,
10/18/2021 19:49,9.62209E+33,BUG,2/2 Windsor,,,,,
10/18/2021 19:49,9.62209E+33,BUG,2/2 Windsor,,,,,
10/18/2021 20:12,9.62209E+33,ARMO,2/2 Windsor,,,,,
10/18/2021 20:12,9.62209E+33,ARMO,2/2 Windsor,,,,,
10/18/2021 20:12,9.62209E+33,ARMO,2/2 Windsor,,,,,
10/18/2021 20:12,9.62209E+33,ARMO,2/2 Windsor,,,,,
10/18/2021 20:13,9.62209E+33,BUG,2/2 Windsor,,,,,
10/18/2021 20:18,9.62209E+33,unfollow,2/2 Windsor,,,adidas Yeezy Boost 700 Wash Orange,,
10/18/2021 20:30,9.62209E+33,BOBO,8/23 Spring,,,"ys 700		9.5",,
10/18/2021 20:30,9.62209E+33,BOBO,8/23 Spring,,,"ys 700		10",,
10/19/2021 19:35,9.62209E+33,ARMO,9/2101 Mindy,,,,,
10/19/2021 19:35,9.62209E+33,ARMO,9/2101 Mindy,,,,,
10/19/2021 19:35,9.62209E+33,ARMO,9/2101 Mindy,,,,,
10/19/2021 19:35,9.62209E+33,ARMO,9/2101 Mindy,,,,,
10/19/2021 19:35,9.62209E+33,ARMO,9/2101 Mindy,,,,,
10/19/2021 19:35,9.62209E+33,ARMO,9/2101 Mindy,,,,,
10/19/2021 19:35,9.62209E+33,ARMO,9/2101 Mindy,,,,,
10/19/2021 19:35,9.62209E+33,ARMO,9/2101 Mindy,,,,,
10/19/2021 19:35,9.62209E+33,ARMO,9/2101 Mindy,,,,,
10/19/2021 19:35,9.62209E+33,ARMO,9/2101 Mindy,,,,,
10/19/2021 19:35,9.62209E+33,ARMO,9/2101 Mindy,,,,,
10/19/2021 19:35,9.62209E+33,ARMO,9/2101 Mindy,,,,,
10/19/2021 19:35,9.62209E+33,HQCH,9/2101 Mindy,,,,,
10/19/2021 19:35,9.62209E+33,HQCH,9/2101 Mindy,,,,,
10/19/2021 19:35,9.62209E+33,HQCH,9/2101 Mindy,,,,,
10/19/2021 19:35,9.62209E+33,unfollow,9/2101 Mindy,,,adidas Yeezy Boost 700 Wash Orange,,
10/19/2021 19:35,9.62209E+33,unfollow,9/2101 Mindy,,,adidas Yeezy Boost 700 Wash Orange,,
10/19/2021 19:36,9.62209E+33,ARMO,9/2101 Mindy,,,,,
10/19/2021 19:36,9.62209E+33,ARMO,9/2101 Mindy,,,,,
10/19/2021 19:36,9.62209E+33,ARMO,9/2101 Mindy,,,,,
10/19/2021 19:36,9.62209E+33,ARMO,9/2101 Mindy,,,,,
10/19/2021 19:36,9.62209E+33,ARMO,9/2101 Mindy,,,,,
10/20/2021 22:42,9.62209E+33,BOBO,5/19 Mt Run,,,"ys 700		10.5",,
10/20/2021 22:43,9.62209E+33,ARMO,5/19 Mt Run,,,,,
10/20/2021 22:44,9.62209E+33,ARMO,5/19 Mt Run,,,,,
10/20/2021 22:44,9.62209E+33,ARMO,5/19 Mt Run,,,,,
10/20/2021 22:44,9.62209E+33,ARMO,5/19 Mt Run,,,,,
10/20/2021 22:44,9.62209E+33,ARMO,5/19 Mt Run,,,,,
10/20/2021 22:44,9.62209E+33,ARMO,5/19 Mt Run,,,,,
10/20/2021 22:44,9.62209E+33,ARMO,5/19 Mt Run,,,,,
10/20/2021 22:44,9.62209E+33,ARMO,5/19 Mt Run,,,,,
10/20/2021 22:44,9.62209E+33,ARMO,5/19 Mt Run,,,,,
10/20/2021 22:44,9.62209E+33,ARMO,5/19 Mt Run,,,,,
